ID Producto,SKU,Nombre,Descripcion,Tamano Unidad,Medida Unidad,ID Presentación,Unidades por Paquete,Unidades por Presentación,Costo por Paquete,Costo Unitario,Moneda,ID Barcode,Codigo de Barras,Precio de Venta
229,FOR-FO-1-UND-8317,"Crema Dental Fortident, 76 gr","Crema Dental Fortident, 76 gr",76.00,GR,245,72,72,"162000,00",1562.50,COP,142,7891150083882,174000
231,SAL-GAL-TAC-1-UND-BE59,"Galleta Salti Taco, 1 X 7 ","Galleta Salti Taco, 1 X 7 ",595.00,GR,247,25,25,"126000,00",5250.00,COP,149,7707323130324,132000
232,PAS-HAR-TRI-1-UND-19C6,"Harina de Trigo Paspan Leudante, 1 kg","Harina de Trigo Paspan Leudante, 1 kg",1.00,KG,333,10,10,"24500,00",,COP,,,26500
233,ROB-HAR-TRI-1-UND-A640,"Harina de Trigo Robinson Leudante, 1 kg","Harina de Trigo Robinson Leudante, 1 kg",1.00,KG,249,10,10,"33000,00",3300.00,COP,38,7707197613404,34500
235,ROB-HAR-TRI-1-UND-1A1C,"Harina de Trigo Robinson Todo Uso, 1 kg","Harina de Trigo Robinson Todo Uso, 1 kg",1.00,KG,251,10,10,"32000,00",3300.00,COP,39,7707197617846,34000
238,OZX-HAR-OZ-1-UND-5844,"Harina La Oz Maiz Blanco, 1 kg","Harina La Oz Maiz Blanco, 1 kg",1.00,KG,254,20,20,"48000,00",2525.00,COP,10,7704269105249,51000
243,NAT-JAB-1-UND-D0ED,"Jabon Natural Feeling, 1 x 4","Jabon Natural Feeling, 1 x 4",4.00,UND,,15,15,"78000,00",,COP,118,7700304021536,82000
245,EDE-JAB-1-UND-FBDC,"Detergente en Polvo Eden Multiusos, 1 kg ","Detergente en Polvo Eden Multiusos, 1 kg ",1.00,KG,261,20,20,"80000,00",4000.00,COP,,,83000
246,IND-LEC-POL-1-UND-0113,"Leche en Polvo Induleche, 360gr","Leche en Polvo Induleche, 360gr",360.00,GR,262,30,30,"357000,00",11600.00,COP,,,363000
247,IND-LEC-POL-1-UND-0C05,"Leche en Polvo Induleche, 800 gr","Leche en Polvo Induleche, 800 gr",800.00,KG,263,12,12,"352000,00",21750.00,COP,121,7706921028002,356000
